scraped_comment,time,date,year
"<div class=""narrow""><span style=""font-size: 11pt;""><b>Welcome to Canadian Express Entry/Federal Skilled Workers Program Thread - Part 7</b><br><br><blockquote><br>Express Entry is an electronic management application system for immigration to Canada. It facilitates the selection and processing of Canada’s economic immigration programs:<br>- <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/become-candidate/eligibility/federal-skilled-workers.html"">Federal Skilled Worker Program</a>,<br>- <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/become-candidate/eligibility/skilled-trades.html"">Federal Skilled Trades Program</a>, <br>- <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/become-candidate/eligibility/canadian-experience-class.html"">Canadian Experience Class</a>, <br>- a portion of the <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees/eligibility.html"">Provincial Nominee Program</a><br><br>Kindly go through the previous parts (<a href=""https://www.nairaland.com/2624318/canadian-express-entry-federal-skilled#38373178"">PART 1</a>, <a href=""https://www.nairaland.com/3999848/canadian-express-entry-federal-skilled#59640544"">PART 2</a>, <a href=""https://www.nairaland.com/4212543/canadian-express-entry-federal-skilled#62945314"">PART 3</a>, <a href=""https://www.nairaland.com/4472519/canadian-express-entry-federal-skilled#67031165"">PART 4</a>, <a href=""https://www.nairaland.com/4657743/canadian-express-entry-federal-skilled#69989255"">PART 5</a> and <a href=""https://www.nairaland.com/4843199/canadian-express-entry-federal-skilled#72932702"">PART 6</a>) of this thread to know more about the Canadian Express Entry/Federal Skilled Workers Program.<br><br>You may also visit the Government of Canada website <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry.html"">here</a> for more information and updates.<br><br>All the best to all ITA/PPR hopefuls and thanks to all those who are making very useful contributions. Suggestions are always welcome.<br><br>It shall end in praise! Amen!!! </blockquote><br>SISTER THREADS<br><br><blockquote><br><br>To learn about immigrating to Canada through a Provincial Nominee Program, see here: <a href=""https://www.nairaland.com/4180147/all-canadian-provincial-nominee-programs""> here </a><br><br>To learn about studying in Canada, click here <a href=""https://www.nairaland.com/4773130/canadian-student-visa-thread-part#71833372""> Canada Student Visa </a><br><br>To learn about getting a work permit if your spouse is studying in Canada, check <a href=""https://www.nairaland.com/2271485/canada-spouse-open-work-permit""> here </a><br><br>To learn about sitting for TEF/TCF to improve chances of Express Entry, go here: <a href=""https://www.nairaland.com/4672912/all-tef-candidates-canada-immigration""> TEF/TCF </a><br><br>To learn about living in Canada as an immigrant, go <a href=""https://www.nairaland.com/4933819/living-canada-life-canadian-immigrant#74340339"">here</a>.<br><br></blockquote><br>cc: @justwise, @smslive2, @raphrulz, @ifeoma77, @tojued, @mcstan18<br></span></div>",7:15pm,Feb-18,2019
"<div class=""narrow""><blockquote><a href=""/post/75882147""><b>jolajemz</b></a>:<br>EE Profile<br>1. IELTS - 29/12/2017 <br>2. ECA - 24/05/2018<br>3. ECA (Spouse) - 03/07/2018<br>4. EE Profile: 04/07/2018<br>5. CELPIP (Spouse) - 31/07/2018 <br>6. ITA - 08/08/2018<br>7. AOR - 12/09/2018<br>8. IP2 - 12/09/2018<br>9. MEP/BIL - 09/10/2018<br>10. Biometrics - 10/10/2018<br>11. ADR (New passport for spouse) - 10/11/2018<br>12. ADR submitted - (12/11/2018)<br>13. PPR - 19/02/2019<br></blockquote><br>Congratulatiin</div>",8:47am,Feb-19,2019
"<div class=""narrow"">Congratulations @arcugo and @jolajemz. You have opened the thread.<br><br>Go and excel in your new home.</div>",10:16am,Feb-19,2019
"<div class=""narrow"">Congrats to the recent PPR clinchers.<br>Well done joo2018.<br>Hmm..that's how glittering star started part 4 and got PPR in part 4, smslive started part 6 and got PPR in part6. Joo2018 has tapped into the anointing that follows starting a new part <img src=""https://www.nairaland.com/faces/grin.png"" alt=""grin"" border=""0"" class=""faces""><br><br>There shall be abundance of PPRs in this part in Jesus name.</div>",10:18am,Feb-19,2019
"<div class=""narrow"">Address don change oooo  <img src=""https://www.nairaland.com/faces/cheesy.png"" alt=""cheesy"" border=""0"" class=""faces""> <img src=""https://www.nairaland.com/faces/grin.png"" alt=""grin"" border=""0"" class=""faces""> <img src=""https://www.nairaland.com/faces/grin.png"" alt=""grin"" border=""0"" class=""faces""> <img src=""https://www.nairaland.com/faces/grin.png"" alt=""grin"" border=""0"" class=""faces"">..part 7 is here...<br>Congratulations!!! @Arcugo &amp; @jolajemz</div>",10:18am,Feb-19,2019
"<div class=""narrow""><blockquote><a href=""/post/75874368""><b>raphrulz</b></a>:<br><span style=""color:#000099;"">May the Lord answer all our prayers and may we share our PPR scripts in this part so that i can allocate the most appropriate scores to them.<br><br>In other news.....   <br><br><sub>continues with the 200-page ppr script write up</sub>....<br><br>On the pathway to getting 15/10 score from the panel of judges.<br><br>God bless you all!</span></blockquote>you better do  <img src=""https://www.nairaland.com/faces/grin.png"" alt=""grin"" border=""0"" class=""faces""> <img src=""https://www.nairaland.com/faces/grin.png"" alt=""grin"" border=""0"" class=""faces""><br>comma, full stop, question mark, must be there, else!!!!!!!</div>",10:22am,Feb-19,2019
"<div class=""narrow"">Aaaah, na so una wan leave me for za oza room (part 6) <img src=""/faces/huh.png"" style=""width:15px;height:22px;"">. Glad I've been able to catch up. Congratulations to the people who disvirgined this part with PPR.<br>Part 6 delivered ECA, on the page 7 of part 7, I decree that my PPR will land here. <br>7 is my lucky number it seems, and my moniker ends with a 7,it's a done deal, amen <img src=""https://www.nairaland.com/faces/grin.png"" alt=""grin"" border=""0"" class=""faces""></div>",10:28am,Feb-19,2019
"<div class=""narrow""><blockquote><a href=""/post/75874124""><b>Ifeoma77</b></a>:<br><br>Amen! I kuku have '7' in my moniker<br>Definitely plus you o!!  <img src=""https://www.nairaland.com/faces/kiss.gif"" alt=""kiss"" border=""0"" class=""faces"">  <img src=""https://www.nairaland.com/faces/kiss.gif"" alt=""kiss"" border=""0"" class=""faces""><br><br><br>Amen Sis  <img src=""https://www.nairaland.com/faces/kiss.gif"" alt=""kiss"" border=""0"" class=""faces"">  <img src=""https://www.nairaland.com/faces/kiss.gif"" alt=""kiss"" border=""0"" class=""faces""> Can't wait for your rich landing gist too</blockquote>Abi...u have 7 in ur name o....<br>The gist...u will be the first to read it...hehehehe....thanks sis.....My Angel......ever reliable friend.</div>",11:13pm,Feb-18,2019
"<div class=""narrow"">Let's go there .<br><br>I have booked this space for my testimony</div>",9:43pm,Feb-18,2019
"<div class=""narrow"">R E S E R V E D</div>",9:46pm,Feb-18,2019
"<div class=""narrow""><blockquote><a href=""/post/75870740""><b>Ifeoma77</b></a>:<br>@johnnybravo1990 <br>If you're with family, just take drop/taxify/Uber. It won't cost more than #800 and will be cheaper than all the along you'll enter.<br>Even if you're alone, using keke and along will cost like #500 to get to Wuse II from Apo. If you're a <s>wicked</s> skillful pricer, you can get a drop to take you there with like #600. </blockquote><br>I had fun drawing up all the along options  <img src=""https://www.nairaland.com/faces/cheesy.png"" alt=""cheesy"" border=""0"" class=""faces""><br>It took me so long to understand Abuja transit, can't resist showing off my knowledge of the along system <img src=""https://www.nairaland.com/faces/grin.png"" alt=""grin"" border=""0"" class=""faces""><br><br>Welcome to part 7.</div>",9:49pm,Feb-18,2019
"<div class=""narrow"">Ifeoma77,Tojued,joo2018,ralphrulz,ontariossuaga,zutlin,Topsmamen,Ramj,Dontee007,xtosyn.this is the thread we will mark your scripts. Amen<br><br><br>and maybe me...lol</div>",9:49pm,Feb-18,2019
"<div class=""narrow"">Hmmm, make I arrange ground here too for my testimony!</div>",9:50pm,Feb-18,2019
"<div class=""narrow"">Lol. <br><br>The Nigerians to Canada trend on twitter after the election postponement made the news. <br><br><a href=""https://www.pulse.ng/lifestyle/food-travel/frustrated-millennial-nigerians-pine-for-migration-to-canada/xlnfwtr"">https://www.pulse.ng/lifestyle/food-travel/frustrated-millennial-nigerians-pine-for-migration-to-canada/xlnfwtr</a></div>",9:52pm,Feb-18,2019
"<div class=""narrow""><blockquote><a href=""/post/75871584""><b>Kmgb1</b></a>:<br>this is the thread we will mark your scripts. Amen<br>and maybe me...lol</blockquote><br>Let's go there. Plus you join.</div>",9:52pm,Feb-18,2019
"<div class=""narrow""><blockquote><a href=""/post/75871152""><b>Ifeoma77</b></a>:<br><br>You did it right, your score is 404.<br>You could do professional exams like CIPM or CIMA and get two or more certificates. This will bring your score to 437, much better chance of getting ITA. Add in French or a sibling and you're good to go.<br>If you have time, I'd advice you go for Masters because that one is more certain. WES might stop professional certificate evaluation tomorrow, who knows? </blockquote> Thank you Ma</div>",9:53pm,Feb-18,2019
"<div class=""narrow""><blockquote><a href=""/post/75871034""><b>cmoney22222</b></a>:<br>Good Evening house, please need help in confirming my CRS score and possible advice from everyone<br>Profile below<br>24yrs single<br>Bsc degree <br>Assuming an IELTS score of 8777<br>One year NYSC service as job experience<br><br>I calculated the CRS score and I got 404 (though I'm not sure if I did it right) <br><br>What is the added advantage if I go for a master's degree? <b>More points for educational qualification</b><br>Or is it better if I start learning French for TEF? <b>If you think it worths it</b><br><br>(I have no knowledge presently).<br>Which school in Nigeria can I get Msc in the shortest possible time? <b>For me i think NOUN </b><br><br>In all, you can romance the CRS tool with all this listed credentials you have to see for yourself sir</blockquote>Thank you sir</div>",9:55pm,Feb-18,2019
"<div class=""narrow"">Ah part 7  hmmmmm.....as I have seen ppl declare in parts 2,3,4....I can also declare.....my testimony shall be in this thread in Jesus name</div>",9:56pm,Feb-18,2019
"<div class=""narrow"">�</div>",10:01pm,Feb-18,2019
"<div class=""narrow"">I must declare my PPR this year.<br><br>Let me just book this space and keep.</div>",10:05pm,Feb-18,2019
"<div class=""narrow"">Perfect Number! I rest!</div>",10:06pm,Feb-18,2019
"<div class=""narrow""><blockquote><a href=""/post/75870520""><b>cmoney22222</b></a>:<br>Remember this moniker everyone... Part7 must favour me... </blockquote><br>Have you written ielts..this is Dudu Behind.</div>",10:08pm,Feb-18,2019
"<div class=""narrow"">Good evening fellow NLs... Please I jst found out my SIL has an NCE in French (ALVAN) plus DELF (Diploma in French Language) <br><br>She has already sent in her BSc in French (UNN)  to WES before mentioning these other certificates.<br><br>Please how can she add and possibly verify one of these to claim 2 or more certificates.<br><br>Please epp our ministry biko</div>",10:15pm,Feb-18,2019
"<div class=""narrow"">And to think my birth day, month and year all have the number 7. Hmmm.....something is cooking up in part 7.<br><br><b>Happy New Thread guys!</b></div>",10:17pm,Feb-18,2019
"<div class=""narrow"">PERFECT NUMBER 7....MY PPR WILL BE ANNOUNCED ON THIS THREAD AMEN.</div>",10:18pm,Feb-18,2019
"<div class=""narrow""><span style=""font-size: 11pt;"">THE BASIC PROCESS<br> <blockquote><br>If you’re eligible to immigrate under one of the federal immigration programs:<br><br>•	You will be placed in a pool with others who are also eligible.<br><br>•	You will be ranked with others using several factors such as your skills, experience, education and other factors.<br><br>•	You will get an Invitation to Apply (ITA) to a specific program if you are a top candidate. Immigration, Refugees and Citizenship Canada (IRCC) conducts Express Entry draws at regular intervals (usually every two weeks). In these Express Entry draws, candidates above a certain rank are invited to apply for Canadian permanent residence.<br><br>•	You can apply online for permanent residence when you get an Invitation to Apply (ITA). Invited candidates are given 60 days to submit an online application for permanent residence including all supporting documentation.<br></blockquote><br><br></span></div>",7:15pm,Feb-18,2019
"<div class=""narrow""><span style=""font-size: 11pt;"">PRE - ITA<br><br>ELIGIBILITY<br><blockquote><br>You must meet the minimum entry criteria to be eligible for the Federal Skilled Worker Program.<br><br>*Skilled Work Experience<br>You need to have at least one year continuous, full-time (at least 30 hours of paid work per week) or equivalent part-time work experience in an occupation that is categorized under NOC A, B or 0 in the past 10 years. Check the <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/become-candidate/eligibility/find-national-occupation-code.html"">National Occupational Classification (NOC)</a> to learn the skill type of your work experience. <br><br>*Language<br>You must take approved language tests in English or French and get a minimum score of Canadian Language Benchmark (CLB) 7 in all 4 abilities (writing, reading, listening and speaking). CLB 7 equals 6 under IELTS.<br><br>*Education<br>You must complete a minimum of secondary (high school) schooling to get any point under education.<br><br>Proof of Funds<br>You must show that you have enough money to settle in Canada. You can’t borrow this money from another person. You must be able to use this money to pay the costs of living for your family (even if they aren’t coming with you). The amount of money you need to support your family is set by the size of your family. The figure changes every year. Check the current value <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/documents/proof-funds.html"">here</a><br><br>You must also to score at least 67 points out of 100 under selection factors to be eligible. <br>You can manually calculate your points using the <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/become-candidate/eligibility/federal-skilled-workers/six-selection-factors-federal-skilled-workers.html"">six selection factors</a> as outlined on CIC’s website. <br></blockquote><br>ESTIMATE YOUR CRS SCORE<br><blockquote><br>If you are eligible, you will be ranked in the pool according to points based on the Comprehensive Ranking System (CRS) Criteria.<br><br>The CRS criteria is based on:<br>Age<br>Skills<br>Education<br>Language ability<br>Work experience<br>Other factors<br><br>Use the CRS tool to estimate your CRS score: <a href=""http://www.cic.gc.ca/english/immigrate/skilled/crs-tool.asp"">here</a>.<br>To estimate, under language, use a minimum of Listening – 8, Writing – 7, Reading – 7 and Speaking – 7 to estimate your score. <br><br>If your CRS score is above 440, you may be able to get an ITA based on current trends.<br>If your CRS score is between 400 and 440, you may be eligible for a Provincial PNP nomination.<br><br> </blockquote><br></span></div>",7:16pm,Feb-18,2019
"<div class=""narrow""><span style=""font-size: 11pt;"">NECESSARY REQUIREMENTS<br><br><blockquote><br>The following are important requirements for entering the pool:<br>*Language (<a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/documents/language-requirements/language-testing.html"">here</a>):<br>You can take any of these approved language tests:<br><br>English<br>IELTS: International English Language Testing System. You must take the General Training option.<br>CELPIP: Canadian English Language Proficiency Index Program. You must take the CELPIP-General test. Not currently available in Nigeria.<br><br>French<br>TEF Canada: Test d’évaluation de français, <br>TCF Canada: Test de connaissance du français<br><br><br>*ECA (<a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/documents/education-assessed.html"">here</a>):<br>Complete an Educational Credential Assessment (ECA) through one of the designated agencies. Applicants who were educated outside of Canada should have their certificates assessed in order to ensure that their foreign education is equivalent to a similar Canadian education. The assessment is NOT mandatory if:<br>•	The applicant is applying under the Federal Skilled Trade Program.<br>•	The applicant is applying under the Canadian Experience Class.<br><br>Designated organizations<br>Comparative Education Service – University of Toronto School of Continuing Studies <br>International Credential Assessment Service of Canada <br>World Education Services <br>International Qualifications Assessment Service <br>International Credential Evaluation Service <br><br>Designated professional bodies<br>Physicians (NOC 3111 or NOC 3112)<br>If your primary occupation is specialist physician (NOC 3111) or general practitioner/family physician (NOC 3112), the Medical Council of Canada must do an ECA for your primary medical diploma.<br><br>Pharmacists (NOC 3131)<br>If you need a license to practice, the Pharmacy Examining Board of Canada must do your assessment.<br>Pharmacy Examining Board of Canada (professional body for pharmacists)edical Council of Canada (professional body for doctors)<br><br></blockquote><br>DIVE INTO THE POOL<br><blockquote><br>Once you have your language resluts and ECA, you can <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html"">create your profile</a> directly or use the <a href=""https://www.canada.ca/en/immigration-refugees-citizenship/services/come-canada-tool-immigration-express-entry.html"">Come to Canada online tool</a> to generate a <a href=""http://www.cic.gc.ca/english/helpcentre/answer.asp?qnum=994&amp;top=29"">reference number</a>. You can then use the reference to create your profile.<br><br>ITA draws happens regularly. Mostly every 2 weeks. You'll be invited only if you're among the top ranked in the pool based on your skills and experience. <br><br>If you do not get an ITA, you can stay in the pool for up to 12 months as long as you meet the criteria for one of the federal programs. You should update your profile anytime as your case changes. <br><br>If you are not invited to apply for permanent residence within 12 months of submitting an Express Entry profile, your profile will expire. You can however open a new profile. If you still meet the criteria, you will re-enter the pool. <br></blockquote><br></span></div>",7:17pm,Feb-18,2019
"<div class=""narrow""><span style=""color:#000099;"">THE LINKS BELOW ARE FOR PPRs OBTAINED IN PAST PARTS<br><br><a href=""https://www.nairaland.com/3999848/canadian-express-entry-federal-skilled#59640691"">Names of People that got PPR in Part 1</a><br><br><br><a href=""https://www.nairaland.com/4212543/canadian-express-entry-federal-skilled#62945361"">Names of People that got PPR in Part 2</a><br><br><br><a href=""https://www.nairaland.com/4472519/canadian-express-entry-federal-skilled#67031188"">Names of People that got PPR in Part 3</a><br><br><br><a href=""https://www.nairaland.com/4657743/canadian-express-entry-federal-skilled#69989296"">Names of People that got PPR in Part 4</a><br><br><br><a href=""https://www.nairaland.com/4657743/canadian-express-entry-federal-skilled#69989329"">Names of People that got PPR in Part 5</a><br><br><br><a href=""https://www.nairaland.com/4843199/canadian-express-entry-federal-skilled#72932771"">Names of People that got PPR in Part 6</a><br><br><br><br><br><br> </span></div>",7:17pm,Feb-18,2019
"<div class=""narrow""><span style=""font-size: 11pt;""><br><span style=""color:#990000;"">*The links section is currently being revamped. You can refer to page 1 of earlier threads for questions not listed here</span><br><br><br><br>FREQUENTLY ASKED QUESTIONS<br><br><blockquote><br><br>Factors to consider when choosing an ECA body to use Click <a href=""https://www.nairaland.com/4657743/canadian-express-entry-federal-skilled/17#70053800"">HERE</a> AND <a href=""https://www.nairaland.com/4657743/canadian-express-entry-federal-skilled/18#70058799"">HERE</a> AND <a href=""https://www.nairaland.com/4657743/canadian-express-entry-federal-skilled/105#70325651"">HERE</a>, <a href=""https://www.nairaland.com/4657743/canadian-express-entry-federal-skilled/604#72906334"">HERE</a> and <a href=""https://www.nairaland.com/3999848/canadian-express-entry-federal-skilled/1#59645806"">HERE </a><br><br><a href=""https://www.nairaland.com/3999848/canadian-express-entry-federal-skilled#59641006"">Creating An Express Entry Profile<br></a><br><br><a href=""https://www.nairaland.com/3999848/canadian-express-entry-federal-skilled/1#59646061"">Acronyms Used in PR Process<br></a><br><br><a href=""https://www.nairaland.com/4843199/canadian-express-entry-federal-skilled/123#73432782"">How to increase your CRS Point</a><br><br><a href=""https://www.nairaland.com/4843199/canadian-express-entry-federal-skilled/504#75829546"">Estimated Cost of the entire process </a><br><br><a href=""https://www.nairaland.com/3999848/canadian-express-entry-federal-skilled/1#59648352"">Gift Deeds Explained</a><br><br>Adding an adopted family member: <a href=""https://www.nairaland.com/4657743/canadian-express-entry-federal-skilled/128#70397294"">here</a><br><br>Applying as Legally Separated: <a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/35#76008552"">here</a><br><br>Collection of PPR timelines of people in previous threads who were paid in cash and got PPR: <a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/142#76663649"">here</a><br><br></blockquote><br>SAMPLE DOCUMENTS<br><blockquote><br><br><a href=""https://www.nairaland.com/2624318/canadian-express-entry-federal-skilled/780#59411725"">Request for Bank Reference Letter </a><br><br><a href=""https://www.nairaland.com/4212543/canadian-express-entry-federal-skilled/345#65389871"">Request for RSA/Pension Funds Letter </a><br><br><a href=""https://www.nairaland.com/4212543/canadian-express-entry-federal-skilled/321#65248730"">Mutual Funds Reference Letter </a><br><br><a href=""https://www.nairaland.com/4212543/canadian-express-entry-federal-skilled/34#63131997"">Work Reference Letter </a><br><br><a href=""https://www.nairaland.com/4472519/canadian-express-entry-federal-skilled/350#68737519"">Police PCC form</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/142#76663863"">Cash Salary Certificate</a><br><br></blockquote><br><br>LEGACY LINKS<br><br><blockquote><br><br><a href=""https://www.nairaland.com/2624318/canadian-express-entry-federal-skilled/733#59183158"">Summary From Page 0 - Page 100 (Part 1)<br></a><br><br><a href=""https://www.nairaland.com/2624318/canadian-express-entry-federal-skilled/734#59187088"">Summary From Page 101 - Page 200 (Part 1)</a><br><br><a href=""https://www.nairaland.com/2624318/canadian-express-entry-federal-skilled/744#59252129"">Summary From Page 201 - Page 300 (Part 1)</a><br><br><a href=""https://www.nairaland.com/3999848/canadian-express-entry-federal-skilled/402#62123501"">Frequently Asked Questions from Page 1 - Page 100 (Part 2)</a><br><br><a href=""https://www.nairaland.com/4472519/canadian-express-entry-federal-skilled/277#68364817"">The Following People's Timelines Helped in Answering Some Frequently Asked Questions</a><br><br><a href=""https://www.nairaland.com/4212543/canadian-express-entry-federal-skilled/186#64374349""> Read This Post To Know What The Medical Process (Q-Life Family Clinic) Entails</a><br><br><a href=""https://www.nairaland.com/4472519/canadian-express-entry-federal-skilled/339#68690948""> What The Medical Process at IOM Abuja Entails</a><br><br></blockquote></span></div>",7:17pm,Feb-18,2019
"<div class=""narrow""><span style=""font-size: 11pt;""><br>POST-ITA<br><br><blockquote><br><br>Intake<br>Electronic application for permanent residence<br>Completeness check<br><br>Processing<br>Assessing an e-application on A11.2<br>Assessing against minimum requirements<br>Assessing against the selection criteria<br>Making the selection decision<br>Admissibility and making a final decision<br><br></blockquote></span></div>",7:17pm,Feb-18,2019
"<div class=""narrow""><span style=""color:#000099;"">THIS SPACE IS RESERVED FOR THOSE WHO GOT PPR IN THIS PART</span>  <br><br><blockquote><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/3#75877890"">ArcUgo</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/4#75882147"">jolajemz</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/8#75893432"">gsade</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/13#75913923"">ruicosta2000</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/17#75926654"">fizzile</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/14#75916643"">tydearie</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/22#75941105"">KunleSteel</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/32#75991258"">synteeyahani</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/35#76008552"">ChandlerBing</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/36#76012450"">mbhs139</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/39#76033108"">Kemzyebony</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/41#76048689"">tolulopearl</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/42#76049728"">WhiteUlquiorra</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/50#76156546"">Adaoh</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/50#76162462"">19CannyMum</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/53#76175989"">Tojued</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/55#76182717"">Bukzie</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/60#76197312""> CanadasGOAT</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/70#76232732"">Ramj</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/73#76254381"">Temas</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/76#76271505"">Akpasomething</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/89#76351335"">Homguy</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/94#76380594"">Dyolahh</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/126#76573337"">JesusBabyyy</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/126#76575769"">raphrulz</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/130#76586232"">Claire18</a><br><br><a href=""https://www.nairaland.com/5031893/canadian-express-entry-federal-skilled/144#76672466"">Ifeoma77</a><br><br></blockquote></div>",7:17pm,Feb-18,2019
"<div class=""narrow""><blockquote><a href=""/post/75871584""><b>Kmgb1</b></a>:<br>Ifeoma77,Tojued,joo2018,ralphrulz,ontariossuaga,zutlin,Topsmamen,Ramj,Dontee007,xtosyn.this is the thread we will mark your scripts. Amen<br><br><br>and maybe me...lol</blockquote><br>Thank you so much, We ill all testify joyfully. God bless you.</div>",8:55am,Feb-19,2019
